no.,image file path,Title,Sub Title,Date,Short Description,Long Description,item A (linkedIn),item B,item C
1,ace_mock.jpg,Mock Nationals,ACE UTM,2022,Competed in Accounting & Finance and networked.,"Annual ACE UTM Mock Nationals. As director of chapter development I assisted in organizing this event to develop delegates public speaking and confidence. | Over 50 delegates and judges enjoyed catered breakfast and lunch; alongside a keynote speaker from ICUBE - an on campus incubator at UofT. | Additionally, I was responsible for the moderation of case competitors.",https://www.linkedin.com/in/andreskrauss/recent-activity/all/,,
2,rsm_audience.JPG,Ready Set Market!,Innovative Business Association,2023,Hosted & organized a case competition of over 100 attendees (as seen above).,"Organizing and hosting the Ready Set Market! (RSM) case competition in collaboration with the Innovative Business Association at UofT was a rewarding experience. Promoting the event to over 1500 students, professors, and industry professionals was exhausting and fun! | On the event day, I was thrilled to reach an attendee count of 150. I enjoyed simply hosting & engaging with attendees; even making my way down the lunch queue to speak with everyone.",https://www.linkedin.com/in/andreskrauss/recent-activity/all/,,
3,rsm.jpg,Ready Set Market!,Innovative Business Association,2023,Capture of student competitors above.,"Organizing and hosting the Ready Set Market! (RSM) case competition in collaboration with the Innovative Business Association at UofT was a rewarding experience. Promoting the event to over 1500 students, professors, and industry professionals was exhausting and fun! | On the event day, I was thrilled to reach an attendee count of 150. I enjoyed simply hosting & engaging with attendees; even making my way down the lunch queue to speak with everyone.",https://www.linkedin.com/in/andreskrauss/recent-activity/all/,,
4,smg_2022.JPG,Show Me The Green,Innovative Business Association,2022,Networking over lunch.,Networking over lunch.,https://www.linkedin.com/in/andreskrauss/recent-activity/all/,,
9,iba_team.jpeg,CC Team,Innovative Business Association,2023,Clubs & Conferences team capture for final event of the year.,Clubs & Conferences team capture for final event of the year.,https://www.linkedin.com/in/andreskrauss/recent-activity/all/,,
10,melanie_fincomp.jpeg,Fincomp Team,Innovative Business Association,2023,Moderated judging with Fincomp team.,Moderated judging with Fincomp team.,,,
11,melanie_rsm.jpeg,RSM Team,Innovative Business Association,2023,My team for Ready Set Market!,My team for Ready Set Market!,,,
12,smg_best_speaker.jpg,Show Me The Green,Innovative Business Association,2023,Awarded case competition best speaker.,Awarded case competition best speaker.,https://www.linkedin.com/in/andreskrauss/recent-activity/all/,,
5,fall_eagle.png,Fall Eagle,Innovative Business Association,2024,Honoured wth 'fall eagle 2023' for intiative and strong work ethic.,Honoured wth 'fall eagle 2023' for intiative and strong work ethic.,,,
6,ace_consulting.jpg,Consulting Training,ACE UTM,2023,Organized consulting training with team.,Organized consulting training with team.,https://www.linkedin.com/in/andreskrauss/recent-activity/all/,,
7,kim_website.jpeg,Project Article,Kimberly Nguyen,2024,A written linkedIn article on this website! (project of mine),A written linkedIn article on this website! (project of mine),https://www.linkedin.com/feed/update/urn:li:activity:7194024448138661888/,,
8,ace_mock_award.heic,Mock Nationals,ACE UTM,2023,Awarded 2nd for Accounting and Finance.,Awarded 2nd for Accounting and Finance.,https://www.linkedin.com/in/andreskrauss/recent-activity/all/,,